price_in_aed,kilometers,body_condition,mechanical_condition,seller_type,body_type,no_of_cylinders,transmission_type,regional_specs,horsepower,fuel_type,steering_side,year,color,emirate,motors_trim,company,model,age,km_per_year
26000,167390,Perfect inside and out,Perfect inside and out,Dealer,SUV,6.0,Automatic Transmission,GCC Specs,250.0,Gasoline,Left Hand Side,2013.0,Silver, Dubai,GLS,mitsubishi,pajero,13.0,12876.153846153846
110000,39000,Perfect inside and out,Perfect inside and out,Dealer,SUV,8.0,Automatic Transmission,North American Specs,450.0,Gasoline,Left Hand Side,2018.0,White, Sharjah,1500 High Country,chevrolet,silverado,8.0,4875.0
78000,200000,Perfect inside and out,Perfect inside and out,Dealer,Sedan,6.0,Automatic Transmission,GCC Specs,450.0,Gasoline,Left Hand Side,2014.0,Blue, Sharjah,E 300,mercedes-benz,e-class,12.0,16666.666666666668
33000,69000,Perfect inside and out,Perfect inside and out,Owner,Wagon,4.0,Manual Transmission,GCC Specs,125.0,Gasoline,Left Hand Side,2020.0,White, Dubai,Standard,renault,dokker,6.0,11500.0
98000,84000,Perfect inside and out,Perfect inside and out,Owner,Sedan,6.0,Automatic Transmission,GCC Specs,250.0,Gasoline,Left Hand Side,2015.0,Gold, Dubai,S-line,audi,a7,11.0,7636.363636363636
257000,68000,Perfect inside and out,Perfect inside and out,Dealer,SUV,8.0,Automatic Transmission,GCC Specs,250.0,Gasoline,Left Hand Side,2019.0,Black, Dubai,SRT,jeep,grand-cherokee,7.0,9714.285714285714
35999,111749,Perfect inside and out,Perfect inside and out,Dealer,Van,6.0,Automatic Transmission,North American Specs,250.0,Gasoline,Left Hand Side,2013.0,Silver, Dubai,SV,nissan,quest,13.0,8596.076923076924
389000,50000,Perfect inside and out,Perfect inside and out,Dealer,Sedan,8.0,Automatic Transmission,GCC Specs,550.0,Gasoline,Left Hand Side,2020.0,Grey, Abu Dhabi,Other,audi,s8,6.0,8333.333333333334
329000,31577,Perfect inside and out,Perfect inside and out,Dealer,Coupe,6.0,Automatic Transmission,GCC Specs,350.0,Gasoline,Left Hand Side,2019.0,White, Dubai,Other,mercedes-benz,cls-class,7.0,4511.0
19500,171000,Perfect inside and out,Perfect inside and out,Owner,SUV,6.0,Automatic Transmission,GCC Specs,250.0,Gasoline,Left Hand Side,2008.0,White, Dubai,Limited,ford,edge,18.0,9500.0
270000,41309,Perfect inside and out,Perfect inside and out,Dealer,Coupe,8.0,Automatic Transmission,GCC Specs,450.0,Gasoline,Left Hand Side,2018.0,Grey, Dubai,Sport,maserati,granturismo,8.0,5163.625
155000,73455,Perfect inside and out,Perfect inside and out,Dealer,Sedan,4.0,Automatic Transmission,GCC Specs,250.0,Gasoline,Left Hand Side,2020.0,Blue, Dubai,Other,audi,a6,6.0,12242.5
75900,71442,Perfect inside and out,Perfect inside and out,Dealer,Hatchback,4.0,Automatic Transmission,GCC Specs,250.0,Gasoline,Left Hand Side,2018.0,Blue, Dubai,Veloce,alfa-romeo,giulietta,8.0,8930.25
39000,105000,Perfect inside and out,Perfect inside and out,Dealer,SUV,4.0,Automatic Transmission,GCC Specs,175.0,Gasoline,Left Hand Side,2018.0,White, Abu Dhabi,SE,toyota,avanza,8.0,13125.0
30000,169500,Perfect inside and out,Perfect inside and out,Owner,Coupe,6.0,Automatic Transmission,GCC Specs,250.0,Gasoline,Left Hand Side,2010.0,White, Dubai,630i,bmw,6-series,16.0,10593.75
135000,49000,Perfect inside and out,Perfect inside and out,Dealer,SUV,6.0,Automatic Transmission,North American Specs,250.0,Gasoline,Left Hand Side,2021.0,Blue, Ajman,3.8 V6 4WD,hyundai,palisade,5.0,9800.0
89000,67718,Perfect inside and out,Perfect inside and out,Dealer,SUV,6.0,Automatic Transmission,GCC Specs,350.0,Gasoline,Left Hand Side,2017.0,White, Dubai,Other,cadillac,xt5,9.0,7524.222222222223
499000,8199,Perfect inside and out,Perfect inside and out,Dealer,Soft Top Convertible,12.0,Automatic Transmission,European Specs,550.0,Gasoline,Left Hand Side,2015.0,Other Color, Dubai,Other,bentley,continental-gt,11.0,745.3636363636364
119900,44000,Perfect inside and out,Perfect inside and out,Dealer,Sedan,4.0,Automatic Transmission,GCC Specs,250.0,Gasoline,Left Hand Side,2018.0,White, Dubai,Super,alfa-romeo,giulia,8.0,5500.0
63000,163000,Perfect inside and out,Perfect inside and out,Owner,Coupe,8.0,Automatic Transmission,GCC Specs,550.0,Gasoline,Left Hand Side,2008.0,Grey, Dubai,CL 63 AMG,mercedes-benz,cl-class,18.0,9055.555555555555
75000,21000,Perfect inside and out,Perfect inside and out,Dealer,SUV,6.0,Automatic Transmission,GCC Specs,250.0,Gasoline,Left Hand Side,2019.0,Grey, Dubai,GLS,hyundai,santa-fe,7.0,3000.0
114500,99220,Perfect inside and out,Perfect inside and out,Dealer,Sedan,6.0,Automatic Transmission,GCC Specs,350.0,Gasoline,Left Hand Side,2015.0,Brown, Dubai,640i,bmw,6-series,11.0,9020.0
245999,7,Perfect inside and out,Perfect inside and out,Dealer,Hard Top Convertible,8.0,Automatic Transmission,GCC Specs,450.0,Gasoline,Left Hand Side,2021.0,Grey, Dubai,GT Premium,ford,mustang,5.0,1.4
224000,110608,Perfect inside and out,Perfect inside and out,Dealer,Coupe,8.0,Automatic Transmission,GCC Specs,450.0,Gasoline,Left Hand Side,2015.0,White, Dubai,S 63 Coupe AMG,mercedes-benz,s-class-coupe,11.0,10055.272727272728
30000,130969,Perfect inside and out,Perfect inside and out,Dealer,SUV,6.0,Automatic Transmission,GCC Specs,350.0,Gasoline,Left Hand Side,2012.0,White, Dubai,Ecoboost,lincoln,mkt,14.0,9354.92857142857
190000,34000,Perfect inside and out,Perfect inside and out,Dealer,Sedan,4.0,Automatic Transmission,GCC Specs,250.0,Gasoline,Left Hand Side,2020.0,White, Dubai,CLA250,mercedes-benz,cla,6.0,5666.666666666667
125000,94000,Perfect inside and out,Perfect inside and out,Dealer,SUV,6.0,Automatic Transmission,GCC Specs,250.0,Gasoline,Left Hand Side,2018.0,Gold, Sharjah,Super Safari,nissan,patrol,8.0,11750.0
36000,162579,Perfect inside and out,Perfect inside and out,Dealer,SUV,6.0,Automatic Transmission,GCC Specs,250.0,Gasoline,Left Hand Side,2014.0,Blue, Dubai,LTZ,chevrolet,traverse,12.0,13548.25
33000,162000,Perfect inside and out,Perfect inside and out,Owner,Soft Top Convertible,6.0,Automatic Transmission,North American Specs,250.0,Gasoline,Left Hand Side,2013.0,Black, Abu Dhabi,Other,ford,mustang,13.0,12461.538461538461
470000,18347,Perfect inside and out,Perfect inside and out,Dealer,Coupe,6.0,Automatic Transmission,GCC Specs,450.0,Gasoline,Left Hand Side,2019.0,Grey, Dubai,GTS,porsche,carrera,7.0,2621.0
24500,193752,Perfect inside and out,Perfect inside and out,Dealer,SUV,8.0,Automatic Transmission,GCC Specs,450.0,Gasoline,Left Hand Side,2009.0,Black, Abu Dhabi,Denali,gmc,yukon,17.0,11397.176470588236
23000,105000,Perfect inside and out,Perfect inside and out,Dealer,Sedan,8.0,Automatic Transmission,North American Specs,250.0,Gasoline,Left Hand Side,2004.0,Black, Sharjah,1/2 Ultra,lexus,ls-series,22.0,4772.727272727273
62000,150950,Perfect inside and out,Perfect inside and out,Owner,Soft Top Convertible,6.0,Automatic Transmission,North American Specs,250.0,Diesel,Left Hand Side,2015.0,Yellow, Dubai,RS,chevrolet,camaro,11.0,13722.727272727272
35500,70000,Perfect inside and out,Perfect inside and out,Owner,Hatchback,4.0,Automatic Transmission,GCC Specs,175.0,Gasoline,Left Hand Side,2016.0,Blue, Dubai,LE,renault,captur,10.0,7000.0
91000,218000,Perfect inside and out,Perfect inside and out,Owner,SUV,8.0,Automatic Transmission,GCC Specs,350.0,Gasoline,Left Hand Side,2014.0,White, Dubai,Premium,lexus,gx-series,12.0,18166.666666666668
34000,89000,Perfect inside and out,Perfect inside and out,Dealer,Sedan,8.0,Automatic Transmission,Japanese Specs,250.0,Gasoline,Left Hand Side,2004.0,Black, Abu Dhabi,3/4 Ultra,lexus,ls-series,22.0,4045.4545454545455
59900,138117,Perfect inside and out,Perfect inside and out,Dealer,Sedan,4.0,Automatic Transmission,GCC Specs,175.0,Gasoline,Left Hand Side,2016.0,Black, Dubai,SE,toyota,camry,10.0,13811.7
159000,97500,Perfect inside and out,Perfect inside and out,Dealer,Coupe,6.0,Automatic Transmission,GCC Specs,350.0,Gasoline,Left Hand Side,2009.0,White, Dubai,Carrera,porsche,carrera,17.0,5735.294117647059
89000,70000,Perfect inside and out,Perfect inside and out,Dealer,SUV,6.0,Automatic Transmission,GCC Specs,350.0,Gasoline,Left Hand Side,2014.0,White, Dubai,Xdrive50i,bmw,x5,12.0,5833.333333333333
58000,133919,Perfect inside and out,Perfect inside and out,Dealer,SUV,6.0,Automatic Transmission,GCC Specs,250.0,Gasoline,Left Hand Side,2014.0,White, Dubai,Limited,dodge,durango,12.0,11159.916666666666
459999,0,Perfect inside and out,Perfect inside and out,Dealer,SUV,6.0,Automatic Transmission,European Specs,450.0,Gasoline,Left Hand Side,2021.0,Brown, Dubai,Other,land-rover,defender,5.0,0.0
205000,116242,Perfect inside and out,Perfect inside and out,Owner,SUV,8.0,Automatic Transmission,GCC Specs,550.0,Gasoline,Left Hand Side,2018.0,Grey, Dubai,GXR,toyota,land-cruiser,8.0,14530.25
135000,66000,Perfect inside and out,Perfect inside and out,Dealer,SUV,4.0,Automatic Transmission,North American Specs,250.0,Gasoline,Left Hand Side,2019.0,Black, Dubai,GLC 300 4MATIC,mercedes-benz,glc,7.0,9428.57142857143
41500,91000,Perfect inside and out,Perfect inside and out,Dealer,SUV,4.0,Automatic Transmission,GCC Specs,250.0,Gasoline,Left Hand Side,2015.0,Grey, Dubai,GLS,mitsubishi,pajero,11.0,8272.727272727272
90000,130000,Perfect inside and out,Perfect inside and out,Owner,Sedan,6.0,Automatic Transmission,GCC Specs,250.0,Gasoline,Left Hand Side,2013.0,White, Dubai,S 350,mercedes-benz,s-class,13.0,10000.0
65000,93000,Perfect inside and out,Perfect inside and out,Dealer,SUV,6.0,Automatic Transmission,GCC Specs,250.0,Gasoline,Left Hand Side,2016.0,Brown, Sharjah,Luxury,infiniti,q70,10.0,9300.0
150000,0,Perfect inside and out,Perfect inside and out,Dealer,SUV,6.0,Manual Transmission,GCC Specs,450.0,Gasoline,Left Hand Side,2021.0,Gold, Abu Dhabi,Safari MT,nissan,patrol,5.0,0.0
37000,199575,Perfect inside and out,Perfect inside and out,Dealer,SUV,6.0,Automatic Transmission,GCC Specs,350.0,Gasoline,Left Hand Side,2013.0,Silver, Dubai,Sport,ford,edge,13.0,15351.923076923076
145000,0,Perfect inside and out,Perfect inside and out,Dealer,SUV,6.0,Manual Transmission,GCC Specs,250.0,Gasoline,Left Hand Side,2021.0,White, Dubai,Safari,nissan,patrol,5.0,0.0
72000,79000,Perfect inside and out,Perfect inside and out,Owner,SUV,4.0,Automatic Transmission,GCC Specs,250.0,Gasoline,Left Hand Side,2018.0,White, Dubai,Other,toyota,previa,8.0,9875.0
49000,158000,Perfect inside and out,Perfect inside and out,Owner,Coupe,6.0,Automatic Transmission,North American Specs,250.0,Gasoline,Left Hand Side,2015.0,Burgundy, Abu Dhabi,Standard V6,ford,mustang,11.0,14363.636363636364
51900,133079,Perfect inside and out,Perfect inside and out,Dealer,SUV,4.0,Automatic Transmission,GCC Specs,125.0,Gasoline,Left Hand Side,2018.0,Red, Dubai,S,nissan,kicks,8.0,16634.875
219000,8800,Perfect inside and out,Perfect inside and out,Dealer,Coupe,8.0,Automatic Transmission,GCC Specs,450.0,Gasoline,Left Hand Side,2021.0,Red, Dubai,SS,chevrolet,camaro,5.0,1760.0
245000,75000,Perfect inside and out,Perfect inside and out,Dealer,SUV,8.0,Automatic Transmission,GCC Specs,450.0,Gasoline,Left Hand Side,2018.0,White, Dubai,VXR TOP,toyota,land-cruiser,8.0,9375.0
240000,18000,Perfect inside and out,Perfect inside and out,Dealer,SUV,8.0,Automatic Transmission,GCC Specs,350.0,Gasoline,Left Hand Side,2021.0,White, Dubai,Z71,chevrolet,tahoe,5.0,3600.0
40000,115000,Perfect inside and out,Perfect inside and out,Owner,Sedan,6.0,Automatic Transmission,GCC Specs,175.0,Gasoline,Left Hand Side,2013.0,Grey, Abu Dhabi,Other,toyota,aurion,13.0,8846.153846153846
13500,170865,Perfect inside and out,Perfect inside and out,Owner,Sedan,4.0,Automatic Transmission,GCC Specs,250.0,Gasoline,Left Hand Side,2009.0,Gold, Dubai,SE,nissan,tiida,17.0,10050.882352941177
24500,240000,Perfect inside and out,Perfect inside and out,Owner,Sedan,6.0,Automatic Transmission,GCC Specs,250.0,Gasoline,Left Hand Side,2013.0,Silver, Dubai,SEL,ford,taurus,13.0,18461.53846153846
69500,0,Perfect inside and out,Perfect inside and out,Dealer,Coupe,6.0,Automatic Transmission,Other,350.0,Gasoline,Left Hand Side,2014.0,Black, Dubai,Other,hyundai,genesis,12.0,0.0
115500,40000,Perfect inside and out,Perfect inside and out,Dealer,SUV,8.0,Automatic Transmission,North American Specs,550.0,Gasoline,Left Hand Side,2019.0,Silver, Sharjah,SV,nissan,armada,7.0,5714.285714285715
109900,63000,Perfect inside and out,Perfect inside and out,Dealer,Soft Top Convertible,6.0,Automatic Transmission,GCC Specs,350.0,Gasoline,Left Hand Side,2014.0,Black, Dubai,640i,bmw,6-series,12.0,5250.0
400000,40391,Perfect inside and out,Perfect inside and out,Dealer,Sedan,8.0,Automatic Transmission,GCC Specs,550.0,Gasoline,Left Hand Side,2020.0,White, Dubai,Other,bmw,8-series,6.0,6731.833333333333
225000,90000,Perfect inside and out,Perfect inside and out,Owner,SUV,8.0,Automatic Transmission,GCC Specs,450.0,Gasoline,Left Hand Side,2015.0,Black, Dubai,X6M,bmw,x6,11.0,8181.818181818182
288000,0,Perfect inside and out,Perfect inside and out,Dealer,Crossover,4.0,Automatic Transmission,GCC Specs,250.0,Gasoline,Left Hand Side,2021.0,Black, Dubai,Other,mercedes-benz,glc,5.0,0.0
77000,110000,Perfect inside and out,Perfect inside and out,Owner,Sedan,6.0,Automatic Transmission,GCC Specs,350.0,Gasoline,Left Hand Side,2014.0,Burgundy, Dubai,Ghibli S,maserati,ghibli,12.0,9166.666666666666
129000,21000,Perfect inside and out,Perfect inside and out,Dealer,SUV,8.0,Automatic Transmission,GCC Specs,450.0,Gasoline,Left Hand Side,2021.0,White, Sharjah,1500 LT Z71,chevrolet,silverado,5.0,4200.0
379000,15000,Perfect inside and out,Perfect inside and out,Dealer,Coupe,12.0,Automatic Transmission,GCC Specs,550.0,Gasoline,Left Hand Side,2015.0,Gold, Dubai,Standard,aston-martin,db9,11.0,1363.6363636363637
50000,42871,Perfect inside and out,Perfect inside and out,Dealer,SUV,8.0,Automatic Transmission,North American Specs,250.0,Gasoline,Left Hand Side,2016.0,Red, Dubai,Other,toyota,rav-4,10.0,4287.1
59000,72773,Perfect inside and out,Perfect inside and out,Dealer,SUV,4.0,Automatic Transmission,GCC Specs,175.0,Gasoline,Left Hand Side,2016.0,Blue, Abu Dhabi,Other,mazda,cx-5,10.0,7277.3
149000,29000,Perfect inside and out,Perfect inside and out,Owner,SUV,4.0,Automatic Transmission,North American Specs,250.0,Gasoline,Left Hand Side,2020.0,Black, Dubai,GLC 300 4MATIC,mercedes-benz,glc,6.0,4833.333333333333
325000,80000,Perfect inside and out,Perfect inside and out,Owner,Sedan,12.0,Automatic Transmission,GCC Specs,450.0,Gasoline,Left Hand Side,2011.0,Grey, Abu Dhabi,Standard,rolls-royce,ghost,15.0,5333.333333333333
155000,100000,Perfect inside and out,"Minor faults, all fixed",Owner,SUV,8.0,Automatic Transmission,European Specs,450.0,Gasoline,Left Hand Side,2014.0,White, Dubai,GTS,porsche,cayenne,12.0,8333.333333333334
55000,147342,Perfect inside and out,Perfect inside and out,Dealer,Sedan,4.0,Automatic Transmission,GCC Specs,175.0,Gasoline,Left Hand Side,2014.0,White, Dubai,E 200,mercedes-benz,e-class,12.0,12278.5
110000,22000,Perfect inside and out,Perfect inside and out,Dealer,Pick Up Truck,4.0,Automatic Transmission,GCC Specs,250.0,Gasoline,Left Hand Side,2016.0,Black, Dubai,Double Cab GLX AWD P,toyota,hilux,10.0,2200.0
42000,170000,Perfect inside and out,Perfect inside and out,Dealer,Pick Up Truck,4.0,Automatic Transmission,GCC Specs,250.0,Gasoline,Left Hand Side,2017.0,White, Dubai,Other,nissan,navara,9.0,18888.88888888889
105000,191000,Perfect inside and out,Perfect inside and out,Dealer,SUV,8.0,Automatic Transmission,Japanese Specs,250.0,Gasoline,Left Hand Side,2005.0,White, Dubai,G 500,mercedes-benz,g-class,21.0,9095.238095238095
169000,71000,Perfect inside and out,Perfect inside and out,Owner,Sedan,4.0,Automatic Transmission,GCC Specs,250.0,Gasoline,Left Hand Side,2018.0,Blue, Dubai,530i M-Kit,bmw,5-series,8.0,8875.0
240000,45972,Perfect inside and out,Perfect inside and out,Dealer,Pick Up Truck,6.0,Automatic Transmission,Other,350.0,Gasoline,Left Hand Side,2019.0,Grey, Sharjah,SVT Raptor,ford,f-series-pickup,7.0,6567.428571428572
89900,67428,Perfect inside and out,Perfect inside and out,Dealer,SUV,6.0,Automatic Transmission,GCC Specs,250.0,Gasoline,Left Hand Side,2019.0,Brown, Dubai,GLS,mitsubishi,pajero,7.0,9632.57142857143
64000,101519,Perfect inside and out,Perfect inside and out,Dealer,SUV,8.0,Automatic Transmission,GCC Specs,450.0,Gasoline,Left Hand Side,2013.0,Black, Dubai,Denali,gmc,yukon,13.0,7809.153846153846
75000,85000,Perfect inside and out,Perfect inside and out,Owner,Sedan,6.0,Automatic Transmission,GCC Specs,350.0,Gasoline,Left Hand Side,2013.0,White, Dubai,Special Edition,audi,a7,13.0,6538.461538461538
68000,150000,Perfect inside and out,Perfect inside and out,Owner,SUV,6.0,Automatic Transmission,GCC Specs,350.0,Gasoline,Left Hand Side,2015.0,Brown, Dubai,S-line,audi,q7,11.0,13636.363636363636
155000,32000,Perfect inside and out,Perfect inside and out,Dealer,SUV,8.0,Automatic Transmission,North American Specs,350.0,Gasoline,Left Hand Side,2020.0,Blue, Sharjah,Luxury,infiniti,q80,6.0,5333.333333333333
43000,100000,Perfect inside and out,Perfect inside and out,Dealer,Sedan,6.0,Automatic Transmission,North American Specs,250.0,Gasoline,Left Hand Side,2013.0,Black, Ajman,C350,mercedes-benz,c-class,13.0,7692.307692307692
74500,133000,Perfect inside and out,Perfect inside and out,Owner,SUV,6.0,Automatic Transmission,GCC Specs,250.0,Gasoline,Left Hand Side,2015.0,Black, Dubai,S Off Road Pack,nissan,xterra,11.0,12090.90909090909
79000,124580,Perfect inside and out,Perfect inside and out,Owner,SUV,8.0,Automatic Transmission,GCC Specs,350.0,Gasoline,Left Hand Side,2013.0,Silver, Dubai,LE,nissan,patrol,13.0,9583.076923076924
85000,189000,Perfect inside and out,Perfect inside and out,Owner,Sedan,6.0,Automatic Transmission,GCC Specs,350.0,Gasoline,Left Hand Side,2015.0,Tan, Dubai,730Li,bmw,7-series,11.0,17181.81818181818
35000,129964,Perfect inside and out,Perfect inside and out,Owner,Sedan,6.0,Automatic Transmission,European Specs,250.0,Gasoline,Left Hand Side,2011.0,Grey, Dubai,535i,bmw,5-series,15.0,8664.266666666666
54500,91000,Perfect inside and out,Perfect inside and out,Dealer,Sedan,6.0,Automatic Transmission,Japanese Specs,350.0,Gasoline,Left Hand Side,2011.0,Black, Dubai,E 350,mercedes-benz,e-class,15.0,6066.666666666667
245000,27000,Perfect inside and out,Perfect inside and out,Dealer,SUV,8.0,Automatic Transmission,GCC Specs,350.0,Gasoline,Left Hand Side,2019.0,White, Dubai,Premium,cadillac,escalade,7.0,3857.1428571428573
152900,68000,Perfect inside and out,Perfect inside and out,Dealer,SUV,6.0,Automatic Transmission,GCC Specs,250.0,Gasoline,Left Hand Side,2018.0,White, Dubai,VX TOP NAV,toyota,prado,8.0,8500.0
299000,37000,Perfect inside and out,Perfect inside and out,Owner,SUV,8.0,Automatic Transmission,GCC Specs,350.0,Gasoline,Left Hand Side,2019.0,Black, Dubai,GLS 500,mercedes-benz,gls-class,7.0,5285.714285714285
16000,273000,Perfect inside and out,Perfect inside and out,Dealer,Sedan,6.0,Automatic Transmission,GCC Specs,250.0,Gasoline,Left Hand Side,2010.0,White, Sharjah,323i,bmw,3-series,16.0,17062.5
54000,118000,Perfect inside and out,Perfect inside and out,Dealer,SUV,6.0,Automatic Transmission,North American Specs,250.0,Gasoline,Left Hand Side,2014.0,Grey, Sharjah,Other,jeep,grand-cherokee,12.0,9833.333333333334
32000,96000,Perfect inside and out,Perfect inside and out,Dealer,Sedan,4.0,Automatic Transmission,GCC Specs,250.0,Gasoline,Left Hand Side,2014.0,Grey, Dubai,Highline Plus,volkswagen,passat,12.0,8000.0
73000,43000,Perfect inside and out,Perfect inside and out,Owner,Hatchback,4.0,Manual Transmission,GCC Specs,250.0,Gasoline,Left Hand Side,2018.0,Other Color, Dubai,ST,ford,focus,8.0,5375.0
142000,0,Perfect inside and out,Perfect inside and out,Dealer,Pick Up Truck,6.0,Automatic Transmission,Other,175.0,Gasoline,Left Hand Side,2021.0,White, Dubai,Other,toyota,hilux,5.0,0.0
38000,96000,Perfect inside and out,Perfect inside and out,Owner,Coupe,4.0,Manual Transmission,Japanese Specs,175.0,Gasoline,Left Hand Side,2012.0,Red,Ajman,Other,fiat,500x,14.0,6857.142857142857
159000,117000,Perfect inside and out,Perfect inside and out,Dealer,Sedan,8.0,Automatic Transmission,GCC Specs,450.0,Gasoline,Left Hand Side,2016.0,White, Dubai,750Li xDrive,bmw,7-series,10.0,11700.0
48000,142000,Perfect inside and out,Perfect inside and out,Dealer,Sedan,4.0,Automatic Transmission,GCC Specs,250.0,Gasoline,Left Hand Side,2015.0,Red, Ajman,Other,cadillac,ats,11.0,12909.09090909091
34000,128000,Perfect inside and out,Perfect inside and out,Owner,SUV,6.0,Automatic Transmission,GCC Specs,250.0,Gasoline,Left Hand Side,2013.0,White, Dubai,XLT,ford,explorer,13.0,9846.153846153846
68000,73298,Perfect inside and out,Perfect inside and out,Dealer,Hatchback,4.0,Automatic Transmission,GCC Specs,125.0,Gasoline,Left Hand Side,2020.0,White, Dubai,Other,kia,cerato,6.0,12216.333333333334
