Link,Approx Cost,Origin Country,Sale Country,Manufacturer,Brand,Model Year,Body Type,Additional Type,Weight,Gear box,Power (hp),Torque (Nm),Fuel Econ (L/100km),Fuel Econ (km/L),Performance 0-100 kph (sec),Top speed (kph),Overview
https://www.drivearabia.com/carprices/uae/mercedes-benz/mercedes-benz-cls-class/2006/,"AED 37,200 - 61,000",Germany,uae,Mercedes-Benz,CLS-Class,2006,Luxury Midsize Sedan,4-door sedan,"1730 - 
    1920",7A,272,350,10.1,9.9,7.0,250*,"The new CLS combines the elegance of a coupÃ© with the practicality of a saloon. It is a sedan, but Mercedes-Benz marketing folks like to incorrectly call it a coupe. Anyway, the CLS is a very expensive alternative to the car on which it is based, namely the E-Class. The CLS comes with an extensive list of standard features, including ABS with stability program, CD radio with telephone keypad and 8 loudspeakers, cruise control with variable speed limiter, infrared remote control and visual locking-verification signal, speed-sensitive power steering, automatic climate control and two-stage front airbags and side bags, plus window bags. First-year models included the 3.5-litre CLS 350, the 5.0-litre CLS 500 and the 5.4-litre supercharged CLS 55 AMG Kompressor. The second-year models included the carryover CLS 350, the the upgraded 5.5-litre CLS 500 and the all-new 6.2-litre CLS 63 AMG. The whole range was again changed in 2008, coinciding with a facelift. Options include bi-xenon headlamps with Active Light System and cornering light function, COMAND control and display system for radio and navigation, Distronic proximity control, upholstery options, headlamp cleaning system, keyless start, parking sensors, semi-active air suspension, four-zone automatic climate control and a tyre pressure warning system. "
https://www.drivearabia.com/carprices/uae/jeep/jeep-wrangler-unlimited/2015/,"AED 67,700 - 69,900 (Sport)",United States,uae,Jeep,Wrangler Unlimited,2015,Midsize SUV,5-door wagon,1973,6M/5A,285,352,11.4,8.8,8.1,157*,"The Wrangler was redesigned for 2007, with a stiffer frame, revised suspension, a new engine, and fresh styling. The interior was redesigned completely in 2011, with a new dashboard and door panels, while body-coloured exterior plastic trim and roof were optionally offered. From 2012, the Wrangler is now powered by a new 3.6-litre ""Pentastar"" V6, with a 6-speed manual or 5-speed manually-shiftable automatic, with low-range gearing and full off-road capability. The lengthened four-door wheelbase provides room for a three-wide rear seat in the new Unlimited, making for five-passenger capability. It also offers more ground clearance, more wheel articulation and some new suspension hardware. For the first time, the Wrangler offers an optional electronic-disconnecting front stabiliser bar. This Active Sway Bar System allows more front-wheel travel over obstacles. Also available is the Command-Trac part-time four-wheel-drive system. A Trak-Lok limited slip differential and Rock-Trac with special off-road tyres also are available. Comfort features include power windows, CD/MP3 stereo, and even a voice-controlled 'UConnect' Bluetooth telecom system. Safety includes stability control, ABS brakes, front airbags and seat-mounted side-airbags. It can be equipped with a new three-piece hardtop with removable panels. Also available is a Sunrider soft top with a sunroof feature. The dealer also offers a huge catalogue of original offroad accessories, such as lift kits, metal bumpers, monster tyres and the like, which can get quite expensive if every add-on is chosen. "
https://www.drivearabia.com/carprices/uae/nissan/nissan-urvan/2007/,"AED 22,700 - 24,700 (Panel Van)",Japan,uae,Nissan,Urvan,2007,Commercial Midsize Van,4-door/5-door Van,1675 - 1810,5M,144,213,12.0,8.3,14.0-17.0,170,"The Nissan Urvan has been a commercial success in the UAE for a long time, whether for transporting cargo or hauling the labour force. Consumers get two four-cylinder engine choices, either a 2.5-litre petrol engine or a 3.0-litre diesel plant, both of which can only be had in a five-speed manual. The exterior can be had in the Panel Van or Window Van format with or without high roof. The panel van can be had in 3-seater or 6-seater format, while the micro-bus model is a 15-seater. Standard features include an AM/FM Cassette player, halogen lamps and 15-inch steel wheels.  "
https://www.drivearabia.com/carprices/uae/lamborghini/lamborghini-huracan-spyder/2017/,"AED 602,300 - 697,400",Italy,uae,Lamborghini,Huracan Spyder,2017,Premium Sports Coupe,2-door convertible,1422,7AM,610,560,12.3,8.1,3.4,324,"The Lamborghini HuracÃ¡n, named after yet another Spanish fighting bull, officially replaced the Gallardo. With styling inspired from the Aventador, the HuracÃ¡n LP610-4 Spyder is powered by a 5.2-litre direct-injected V10, with a 7-speed dual-clutch transmission and all-wheel-drive. The electrohydraulic, lightweight soft top opens via a button positioned on the central tunnel in just 17 seconds up to a driving speed of 50 kph. It features three driving modes as well as a stop-start system, while fuel consumption is now much lower than the Gallardo. Safety standards are high, as it should be, with driver and passenger airbags, ABS, traction control and stability control.  "
https://www.drivearabia.com/carprices/uae/dodge/dodge-charger-srt/2019/,"AED 166,400 - 185,600 (SRT HellCat)",Canada,uae,Dodge,Charger SRT,2019,Premium Large Sedan,Premium Large Sedan,1797 - 1984,8A,485,643,12.5,8,4.8,280,"The 2015 Dodge Charger SRT received a significant facelift. From 2019, only the supercharged 6.2-litre V8 powered SRT Hellcat was available. It gets an 8-speed automatic transmission. Standard SRT features include leather upholstery, UConnect multimedia system with touchscreen, 20-inch wheels, rear spoiler and more, along with a unique exterior kit. The Charger SRT Hellcat receives a large, power-bulge aluminium hood, which features a dedicated air intake. Standard safety features on all models include front, side and curtain airbags, ABS, stability control, tyre pressure monitor and optional adaptive cruise control with auto braking. "
https://www.drivearabia.com/carprices/uae/bmw/bmw-3-series-convertible/2010/,"AED 39,600 - 41,400 (320i)",Germany,uae,BMW,3-Series Convertible,2010,Premium Compact Convertible,2-door convertible,1700 - 1825,7A,170,210,7.3,13.7,9.8,226,"The 5th-generation 3-Series convertible was introduced in 2007 in its current iteration, but received a facelift as well as new engines for 2010. Models currently available in some, but not all, GCC countries include the 320i with higher-tuned 2.0-litre 4-cylinder, the 325i with a 2.5-litre 6-cylinder, the sharp 330i with a 3.0-litre 6-cylinder and the hyper 335i with a 3.0-litre turbo 6-cylinder engine. They all came in 7-speed dual-clutch automanual transmissions. Manual models are not actively imported by many GCC dealers. All cars come equipped with keyless entry, cloth or leather upholstery, manual or powered front seats, electric mirrors, power windows, CD stereo and optional sunroof. The optional iDrive computer is available on all models, as are active steering, HID headlights, and alloy wheels in various sizes. All cars get multiple front and side airbags, stability control, ABS and great rear-wheel-drive handling characteristics. "
https://www.drivearabia.com/carprices/uae/ssangyong/ssangyong-kyron/2013/,"AED 18,400 - 20,800",South Korea,uae,Ssangyong,Kyron,2013,Compact SUV,5-door wagon,1971 - 2046,5M/4A,150,214,11.7-12.6,8.5,15.5-16.5,160,"The Kyron is this Korean carmaker's entry into the hotly-contested traditional soft-roader category, only they do it with a real 4WD using truck underpinnings and low-range gearing. Two adults will have no trouble fitting in either front or second row. Behind them is plenty of room for their luggage too. The bench seat also folds down nearly flat to accommodate big, awkward loads like bicycles. The weak part is the 2.3-litre four-cylinder engine. The engine is mated to a five-speed manual or a four-speed automatic, and power reaches the road through a four-wheel-drive system that even includes low-range gearing. The drive system offers a choice of two-wheel drive, four-wheel high, or four-wheel low. The suspension utilizes double wishbones at the front and a multilink design at the rear. Available electronic aids include ABS, hill descent control, traction control, and brake assist. Available features include cloth or leather upholstery, alloy wheels, CD player, keyless entry, power windows, cruise control and more. Safety features include dual front airbags with optional side airbags. "
https://www.drivearabia.com/carprices/uae/mercedes-benz/mercedes-benz-e-class/2018/,"AED 105,500 - 118,400 (E200)",Germany,uae,Mercedes-Benz,E-Class,2018,Luxury Midsize Sedan,4-door sedan,1605 - 1830,9A,184,300,5.9,16.9,7.7,240,"An all-new Mercedes-Benz E-Class sedan made its debut as a 2017 model year. No changes were made for the 2018 model year. It has four models - the E200, E250, E300 which get the 2.0-litre turbocharged 4-cylinder engine and the all-wheel drive E400 which gets the 4.0-litre turbocharged V6 motor. All models get the 9-speed automatic transmission. Inside, most dashboard buttons have been replaced by a screen which can be accessed via a rotary controller or an optional touchpad.  For the first time, air suspension is now offered. Standard safety features include multiple airbags, stability control and traction control. Various optional safety systems include Active Parking Assist, Adaptive Highbeam Assist Plus, Traffic Sign Assist with Wrong-Way Alert, Drive Pilot and Evasive Steering Assist. "
https://www.drivearabia.com/carprices/uae/toyota/toyota-avalon/2006/,"AED 18,500 - 22,500",United States,uae,Toyota,Avalon,2006,Premium Large Sedan,4-door sedan,1586 - 1636,5A/6A,268,336,9.0,11.1,7.2,208*,"The new Avalon is Toyota's rendition of the traditional big car. The Avalon was designed, engineered and built by the Toyota Technical Center in the United States. Its understated styling is more distinctive than any previous-generation Avalon, presenting a quiet look of grace. There was a very minor facelift in 2008, though no one noticed. Power produced by the powerful 3.5-litre V6 goes to the front wheels, originally via a smooth 5-speed automatic. A 6-speed automatic replaced the previous unit from 2008 onwards. Inside is a comfortable cabin lavished with tasteful materials and ergonomically-designed controls that makes this car a pleasant and cheap alternative to a Lexus. This newest Avalon is significantly larger than previous models. The front seats are roomy and comfortable and special attention was paid to back-seat comfort. The Avalon is smooth and comfortable, quiet and serene, as the suspension was tuned for ride comfort. Trim variations are limited to accessories. Standard features include a premium AM/FM/CD/cassette stereo with nine speakers, remote keyless entry, multi-function information display for audio, climate control, temperature and trip computer, among other things. "
https://www.drivearabia.com/carprices/uae/mini/mini-cooper-5-door/2016/,"AED 77,200 - 80,000 (Cooper)",United Kingdom,uae,Mini,Cooper 5-door,2016,Mini Hatchback,5-door hatchback,1190 - 1250,6M/6A,136,219,5.4,18.5,7.8,210,"Mini released an all-new Cooper and Cooper S 5-door hatchback model in 2015 model. The Mini Cooper will be getting a twin-turbocharged 1.5-litre 3-cylinder engine, while the Cooper S gets a twin-turbocharged 2.0-litre 4-cylinder engine. They can both be had in either a 6-speed manual or a 6-speed automatic transmission. Standard features include power steering, power windows, electric mirrors, keyless entry, central locking, fabric seats and alloy rims. Optional features include rain sensor, Park Distance Control, Comfort Access, electrically operated glass roof, roof rails, electrically heated and folding exterior mirrors, interior and exterior mirrors with automatic anti-dazzle function, seat heating, 2-zone automatic air conditioning, rear spoiler in John Cooper Works design, large selection of decorative roof and exterior mirror options, bonnet stripes, seat upholsteries, interior surfaces and Colour Lines, MINI navigation system, MINI Radio Visual Boost and Harman Kardon hi-fi speaker system.Standard safety systems include front and side airbags, ABS brakes and stability control. Driver assistance systems package includes MINI Head-Up-Display, Driving Assistant including camera-based active cruise control, collision and pedestrian warning with initial brake function, high beam assistant and road sign detection, parking assistant; rear view camera. "
